respondent_id,factor_type,factor_name,factor_rank_in_answer
47,choose,Удаленный / гибридный формат работы,2
47,choose,Личный бренд основателя / руководителя компании,3
48,choose,Репутация компании на рынке,1
48,choose,Нахождение офиса компании,2
48,choose,Моё профессиональное развитие,3
49,choose,Цифровые продукт компании,1
50,choose,Стабильность компании (финансовая устойчивость),1
50,choose,Команда и корпоративная культура,2
50,choose,Репутация компании на рынке,3
51,choose,Моё профессиональное развитие,1
51,choose,Удаленный / гибридный формат работы,2
51,choose,Баланс работы и личной жизни,3
52,choose,Баланс работы и личной жизни,1
52,choose,Удаленный / гибридный формат работы,2
52,choose,Интересные задачи / проекты,3
53,choose,Команда и корпоративная культура,1
53,choose,Баланс работы и личной жизни,2
53,choose,Стабильность компании (финансовая устойчивость),3
54,choose,Интересные задачи / проекты,1
54,choose,Стабильность компании (финансовая устойчивость),2
54,choose,Моё профессиональное развитие,3
55,choose,Баланс работы и личной жизни,1
55,choose,Удаленный / гибридный формат работы,2
55,choose,Моё профессиональное развитие,3
56,choose,Команда и корпоративная культура,1
56,choose,Баланс работы и личной жизни,2
56,choose,Стабильность компании (финансовая устойчивость),3
57,choose,Стабильность компании (финансовая устойчивость),1
57,choose,Нахождение офиса компании,2
57,choose,Команда и корпоративная культура,3
58,choose,Команда и корпоративная культура,1
58,choose,Стабильность компании (финансовая устойчивость),2
58,choose,Репутация компании на рынке,3
59,choose,Стабильность компании (финансовая устойчивость),1
59,choose,Интересные задачи / проекты,2
59,choose,Команда и корпоративная культура,3
60,choose,Репутация компании на рынке,1
60,choose,Стабильность компании (финансовая устойчивость),2
61,choose,Цифровые продукт компании,1
61,choose,Баланс работы и личной жизни,2
61,choose,Моё профессиональное развитие,3
62,choose,Баланс работы и личной жизни,1
62,choose,Удаленный / гибридный формат работы,2
62,choose,Другое: Жалақы,3
63,choose,Интересные задачи / проекты,1
63,choose,Команда и корпоративная культура,2
63,choose,Стабильность компании (финансовая устойчивость),3
64,choose,Баланс работы и личной жизни,1
64,choose,Моё профессиональное развитие,2
64,choose,Интересные задачи / проекты,3
65,choose,Моё профессиональное развитие,1
65,choose,Нахождение офиса компании,2
65,choose,Стабильность компании (финансовая устойчивость),3
66,choose,Моё профессиональное развитие,1
67,choose,Интересные задачи / проекты,1
67,choose,Стабильность компании (финансовая устойчивость),2
67,choose,Команда и корпоративная культура,3
68,choose,Удаленный / гибридный формат работы,1
68,choose,Баланс работы и личной жизни,2
68,choose,Стабильность компании (финансовая устойчивость),3
69,choose,Баланс работы и личной жизни,1
69,choose,Команда и корпоративная культура,2
69,choose,Удаленный / гибридный формат работы,3
70,choose,Баланс работы и личной жизни,1
70,choose,Моё профессиональное развитие,2
70,choose,Удаленный / гибридный формат работы,3
71,choose,Стабильность компании (финансовая устойчивость),1
71,choose,Интересные задачи / проекты,2
71,choose,Удаленный / гибридный формат работы,3
72,choose,Команда и корпоративная культура,1
72,choose,Удаленный / гибридный формат работы,2
72,choose,Стабильность компании (финансовая устойчивость),3
73,choose,Моё профессиональное развитие,1
73,choose,Репутация компании на рынке,2
73,choose,Стабильность компании (финансовая устойчивость),3
74,choose,Команда и корпоративная культура,1
74,choose,Удаленный / гибридный формат работы,2
74,choose,Стабильность компании (финансовая устойчивость),3
75,choose,Удаленный / гибридный формат работы,1
75,choose,Баланс работы и личной жизни,2
75,choose,Интересные задачи / проекты,3
76,choose,Удаленный / гибридный формат работы,1
76,choose,Цифровые продукт компании,2
76,choose,Стабильность компании (финансовая устойчивость),3
77,choose,Стабильность компании (финансовая устойчивость),1
77,choose,Баланс работы и личной жизни,2
77,choose,Нахождение офиса компании,3
78,choose,Интересные задачи / проекты,1
78,choose,Удаленный / гибридный формат работы,2
78,choose,Стабильность компании (финансовая устойчивость),3
79,choose,Стабильность компании (финансовая устойчивость),1
79,choose,Репутация компании на рынке,2
79,choose,Интересные задачи / проекты,3
80,choose,Моё профессиональное развитие,1
80,choose,Стабильность компании (финансовая устойчивость),2
80,choose,Репутация компании на рынке,3
81,choose,Интересные задачи / проекты,1
81,choose,Нахождение офиса компании,2
81,choose,Удаленный / гибридный формат работы,3
82,choose,Баланс работы и личной жизни,1
82,choose,Репутация компании на рынке,2
82,choose,Команда и корпоративная культура,3
83,choose,Стабильность компании (финансовая устойчивость),1
83,choose,Интересные задачи / проекты,2
83,choose,Моё профессиональное развитие,3
84,choose,Команда и корпоративная культура,1
84,choose,Цифровые продукт компании,2
84,choose,Интересные задачи / проекты,3
85,choose,Удаленный / гибридный формат работы,1
85,choose,Баланс работы и личной жизни,2
85,choose,Стабильность компании (финансовая устойчивость),3
86,choose,Интересные задачи / проекты,1
86,choose,Цифровые продукт компании,2
86,choose,Репутация компании на рынке,3
87,choose,Баланс работы и личной жизни,1
87,choose,Удаленный / гибридный формат работы,2
87,choose,Стабильность компании (финансовая устойчивость),3
88,choose,Интересные задачи / проекты,1
88,choose,Команда и корпоративная культура,2
88,choose,Моё профессиональное развитие,3
89,choose,Команда и корпоративная культура,1
89,choose,Интересные задачи / проекты,2
89,choose,Удаленный / гибридный формат работы,3
90,choose,Репутация компании на рынке,1
90,choose,Интересные задачи / проекты,2
90,choose,Баланс работы и личной жизни,3
91,choose,Репутация компании на рынке,1
91,choose,Команда и корпоративная культура,2
91,choose,Моё профессиональное развитие,3
92,choose,Удаленный / гибридный формат работы,1
92,choose,Баланс работы и личной жизни,2
92,choose,Команда и корпоративная культура,3
93,choose,Репутация компании на рынке,1
93,choose,Интересные задачи / проекты,2
93,choose,Моё профессиональное развитие,3
94,choose,Команда и корпоративная культура,1
94,choose,Удаленный / гибридный формат работы,2
94,choose,Стабильность компании (финансовая устойчивость),3
95,choose,Удаленный / гибридный формат работы,1
95,choose,Баланс работы и личной жизни,2
95,choose,Стабильность компании (финансовая устойчивость),3
96,choose,Баланс работы и личной жизни,1
96,choose,Команда и корпоративная культура,2
96,choose,Моё профессиональное развитие,3
97,choose,Баланс работы и личной жизни,1
97,choose,Стабильность компании (финансовая устойчивость),2
97,choose,Моё профессиональное развитие,3
98,choose,Интересные задачи / проекты,1
98,choose,Стабильность компании (финансовая устойчивость),2
98,choose,Удаленный / гибридный формат работы,3
99,choose,Цифровые продукт компании,1
99,choose,Стабильность компании (финансовая устойчивость),2
99,choose,Удаленный / гибридный формат работы,3
100,choose,Стабильность компании (финансовая устойчивость),1
100,choose,Баланс работы и личной жизни,2
100,choose,Моё профессиональное развитие,3
101,choose,Интересные задачи / проекты,1
101,choose,Стабильность компании (финансовая устойчивость),2
101,choose,Репутация компании на рынке,3
102,choose,Стабильность компании (финансовая устойчивость),1
102,choose,Удаленный / гибридный формат работы,2
102,choose,Репутация компании на рынке,3
103,choose,Интересные задачи / проекты,1
103,choose,Команда и корпоративная культура,2
103,choose,Стабильность компании (финансовая устойчивость),3
104,choose,Удаленный / гибридный формат работы,1
104,choose,Баланс работы и личной жизни,2
104,choose,Стабильность компании (финансовая устойчивость),3
105,choose,Репутация компании на рынке,1
105,choose,Интересные задачи / проекты,2
105,choose,Стабильность компании (финансовая устойчивость),3
106,choose,Интересные задачи / проекты,1
106,choose,Моё профессиональное развитие,2
106,choose,Репутация компании на рынке,3
107,choose,Репутация компании на рынке,1
107,choose,Моё профессиональное развитие,2
107,choose,Удаленный / гибридный формат работы,3
108,choose,Удаленный / гибридный формат работы,1
108,choose,Интересные задачи / проекты,2
108,choose,Команда и корпоративная культура,3
109,choose,Команда и корпоративная культура,1
109,choose,Баланс работы и личной жизни,2
109,choose,Интересные задачи / проекты,3
110,choose,Удаленный / гибридный формат работы,1
110,choose,Репутация компании на рынке,2
110,choose,Интересные задачи / проекты,3
111,choose,Стабильность компании (финансовая устойчивость),1
111,choose,Баланс работы и личной жизни,2
111,choose,Моё профессиональное развитие,3
112,choose,Команда и корпоративная культура,1
112,choose,Интересные задачи / проекты,2
112,choose,Моё профессиональное развитие,3
113,choose,Интересные задачи / проекты,1
113,choose,Стабильность компании (финансовая устойчивость),2
113,choose,Моё профессиональное развитие,3
114,choose,Стабильность компании (финансовая устойчивость),1
114,choose,Моё профессиональное развитие,2
114,choose,Интересные задачи / проекты,3
115,choose,Интересные задачи / проекты,1
115,choose,Моё профессиональное развитие,2
115,choose,Цифровые продукт компании,3
116,choose,Репутация компании на рынке,1
116,choose,Интересные задачи / проекты,2
116,choose,Моё профессиональное развитие,3
117,choose,Баланс работы и личной жизни,1
117,choose,Интересные задачи / проекты,2
117,choose,Команда и корпоративная культура,3
118,choose,Удаленный / гибридный формат работы,1
118,choose,Баланс работы и личной жизни,2
118,choose,Команда и корпоративная культура,3
119,choose,Команда и корпоративная культура,1
119,choose,Интересные задачи / проекты,2
119,choose,Репутация компании на рынке,3
120,choose,Баланс работы и личной жизни,1
120,choose,Моё профессиональное развитие,2
120,choose,Стабильность компании (финансовая устойчивость),3
121,choose,Репутация компании на рынке,1
121,choose,Моё профессиональное развитие,2
121,choose,Интересные задачи / проекты,3
122,choose,Стабильность компании (финансовая устойчивость),1
122,choose,Удаленный / гибридный формат работы,2
122,choose,Команда и корпоративная культура,3
123,choose,Моё профессиональное развитие,1
123,choose,Команда и корпоративная культура,2
123,choose,Удаленный / гибридный формат работы,3
124,choose,Команда и корпоративная культура,1
124,choose,Баланс работы и личной жизни,2
124,choose,Моё профессиональное развитие,3
125,choose,Баланс работы и личной жизни,1
125,choose,Интересные задачи / проекты,2
125,choose,Моё профессиональное развитие,3
126,choose,Интересные задачи / проекты,1
126,choose,Моё профессиональное развитие,2
126,choose,Стабильность компании (финансовая устойчивость),3
127,choose,Команда и корпоративная культура,1
127,choose,Удаленный / гибридный формат работы,2
127,choose,Интересные задачи / проекты,3
128,choose,Команда и корпоративная культура,1
128,choose,Моё профессиональное развитие,2
128,choose,Репутация компании на рынке,3
129,choose,Баланс работы и личной жизни,1
129,choose,Моё профессиональное развитие,2
129,choose,Команда и корпоративная культура,3
130,choose,Команда и корпоративная культура,1
130,choose,Удаленный / гибридный формат работы,2
130,choose,Интересные задачи / проекты,3
131,choose,Репутация компании на рынке,1
131,choose,Моё профессиональное развитие,2
131,choose,Команда и корпоративная культура,3
132,choose,Интересные задачи / проекты,1
132,choose,Баланс работы и личной жизни,2
132,choose,Моё профессиональное развитие,3
133,choose,Стабильность компании (финансовая устойчивость),1
133,choose,Удаленный / гибридный формат работы,2
133,choose,Нахождение офиса компании,3
134,choose,Репутация компании на рынке,1
134,choose,Удаленный / гибридный формат работы,2
134,choose,Команда и корпоративная культура,3
135,choose,Удаленный / гибридный формат работы,1
135,choose,Моё профессиональное развитие,2
135,choose,Баланс работы и личной жизни,3
136,choose,Репутация компании на рынке,1
136,choose,Удаленный / гибридный формат работы,2
136,choose,Стабильность компании (финансовая устойчивость),3
137,choose,Репутация компании на рынке,1
137,choose,Моё профессиональное развитие,2
137,choose,Удаленный / гибридный формат работы,3
138,choose,Стабильность компании (финансовая устойчивость),1
138,choose,Интересные задачи / проекты,2
138,choose,Удаленный / гибридный формат работы,3
139,choose,Стабильность компании (финансовая устойчивость),1
139,choose,Команда и корпоративная культура,2
139,choose,Удаленный / гибридный формат работы,3
140,choose,Интересные задачи / проекты,1
140,choose,Команда и корпоративная культура,2
140,choose,Моё профессиональное развитие,3
141,choose,Баланс работы и личной жизни,1
141,choose,Стабильность компании (финансовая устойчивость),2
141,choose,Моё профессиональное развитие,3
142,choose,Интересные задачи / проекты,1
142,choose,Удаленный / гибридный формат работы,2
142,choose,Баланс работы и личной жизни,3
143,choose,Стабильность компании (финансовая устойчивость),1
143,choose,Репутация компании на рынке,2
143,choose,Моё профессиональное развитие,3
144,choose,Команда и корпоративная культура,1
144,choose,Моё профессиональное развитие,2
144,choose,Интересные задачи / проекты,3
145,choose,Баланс работы и личной жизни,1
145,choose,Интересные задачи / проекты,2
145,choose,Команда и корпоративная культура,3
146,choose,Удаленный / гибридный формат работы,1
146,choose,Интересные задачи / проекты,2
146,choose,Моё профессиональное развитие,3
147,choose,Стабильность компании (финансовая устойчивость),1
147,choose,Моё профессиональное развитие,2
147,choose,Баланс работы и личной жизни,3
148,choose,Баланс работы и личной жизни,1
148,choose,Команда и корпоративная культура,2
148,choose,Стабильность компании (финансовая устойчивость),3
149,choose,Репутация компании на рынке,1
149,choose,Стабильность компании (финансовая устойчивость),2
149,choose,Интересные задачи / проекты,3
150,choose,Интересные задачи / проекты,1
150,choose,Баланс работы и личной жизни,2
150,choose,Моё профессиональное развитие,3
151,choose,Цифровые продукт компании,1
151,choose,Стабильность компании (финансовая устойчивость),2
151,choose,Баланс работы и личной жизни,3
152,choose,Репутация компании на рынке,1
152,choose,Стабильность компании (финансовая устойчивость),2
152,choose,Моё профессиональное развитие,3
153,choose,Репутация компании на рынке,1
153,choose,Интересные задачи / проекты,2
153,choose,Моё профессиональное развитие,3
154,choose,Баланс работы и личной жизни,1
154,choose,Репутация компании на рынке,2
154,choose,Команда и корпоративная культура,3
155,choose,Репутация компании на рынке,1
155,choose,Удаленный / гибридный формат работы,2
155,choose,Команда и корпоративная культура,3
156,choose,Личный бренд основателя / руководителя компании,1
156,choose,Репутация компании на рынке,2
156,choose,Моё профессиональное развитие,3
157,choose,Моё профессиональное развитие,1
157,choose,Баланс работы и личной жизни,2
157,choose,Интересные задачи / проекты,3
158,choose,Стабильность компании (финансовая устойчивость),1
158,choose,Команда и корпоративная культура,2
158,choose,Интересные задачи / проекты,3
159,choose,Команда и корпоративная культура,1
159,choose,Интересные задачи / проекты,2
159,choose,Цифровые продукт компании,3
160,choose,Удаленный / гибридный формат работы,1
160,choose,Команда и корпоративная культура,2
160,choose,Стабильность компании (финансовая устойчивость),3
161,choose,Интересные задачи / проекты,1
161,choose,Команда и корпоративная культура,2
161,choose,Цифровые продукт компании,3
162,choose,Команда и корпоративная культура,1
162,choose,Интересные задачи / проекты,2
162,choose,Моё профессиональное развитие,3
163,choose,Стабильность компании (финансовая устойчивость),1
163,choose,Баланс работы и личной жизни,2
163,choose,Интересные задачи / проекты,3
164,choose,Баланс работы и личной жизни,1
164,choose,Репутация компании на рынке,2
164,choose,Стабильность компании (финансовая устойчивость),3
165,choose,Удаленный / гибридный формат работы,1
165,choose,Нахождение офиса компании,2
165,choose,Интересные задачи / проекты,3
166,choose,Интересные задачи / проекты,1
166,choose,Моё профессиональное развитие,2
166,choose,Баланс работы и личной жизни,3
167,choose,Моё профессиональное развитие,1
167,choose,Стабильность компании (финансовая устойчивость),2
167,choose,Команда и корпоративная культура,3
168,choose,Моё профессиональное развитие,1
168,choose,Репутация компании на рынке,2
168,choose,Стабильность компании (финансовая устойчивость),3
169,choose,Репутация компании на рынке,1
169,choose,Нахождение офиса компании,2
169,choose,Удаленный / гибридный формат работы,3
170,choose,Удаленный / гибридный формат работы,1
170,choose,Репутация компании на рынке,2
170,choose,Стабильность компании (финансовая устойчивость),3
171,choose,Интересные задачи / проекты,1
171,choose,Баланс работы и личной жизни,2
171,choose,Моё профессиональное развитие,3
172,choose,Баланс работы и личной жизни,1
172,choose,Удаленный / гибридный формат работы,2
172,choose,Команда и корпоративная культура,3
173,choose,Интересные задачи / проекты,1
173,choose,Баланс работы и личной жизни,2
173,choose,Команда и корпоративная культура,3
174,choose,Стабильность компании (финансовая устойчивость),1
174,choose,Моё профессиональное развитие,2
174,choose,Команда и корпоративная культура,3
175,choose,Стабильность компании (финансовая устойчивость),1
175,choose,Моё профессиональное развитие,2
175,choose,Команда и корпоративная культура,3
176,choose,Репутация компании на рынке,1
176,choose,Цифровые продукт компании,2
176,choose,Команда и корпоративная культура,3
177,choose,Моё профессиональное развитие,1
177,choose,Удаленный / гибридный формат работы,2
177,choose,Команда и корпоративная культура,3
178,choose,Интересные задачи / проекты,1
178,choose,Моё профессиональное развитие,2
178,choose,Команда и корпоративная культура,3
179,choose,Моё профессиональное развитие,1
179,choose,Личный бренд основателя / руководителя компании,2
179,choose,Репутация компании на рынке,3
180,choose,Команда и корпоративная культура,1
180,choose,Баланс работы и личной жизни,2
180,choose,Стабильность компании (финансовая устойчивость),3
181,choose,Команда и корпоративная культура,1
181,choose,Удаленный / гибридный формат работы,2
181,choose,Моё профессиональное развитие,3
182,choose,Команда и корпоративная культура,1
182,choose,Удаленный / гибридный формат работы,2
182,choose,Стабильность компании (финансовая устойчивость),3
183,choose,Интересные задачи / проекты,1
183,choose,Баланс работы и личной жизни,2
183,choose,Репутация компании на рынке,3
184,choose,Личный бренд основателя / руководителя компании,1
184,choose,Команда и корпоративная культура,2
184,choose,Моё профессиональное развитие,3
185,choose,Личный бренд основателя / руководителя компании,1
185,choose,Цифровые продукт компании,2
185,choose,Репутация компании на рынке,3
186,choose,Цифровые продукт компании,1
186,choose,Моё профессиональное развитие,2
186,choose,Команда и корпоративная культура,3
187,choose,Стабильность компании (финансовая устойчивость),1
187,choose,Нахождение офиса компании,2
187,choose,Баланс работы и личной жизни,3
188,choose,Команда и корпоративная культура,1
188,choose,Моё профессиональное развитие,2
188,choose,Интересные задачи / проекты,3
189,choose,Команда и корпоративная культура,1
189,choose,Цифровые продукт компании,2
189,choose,Репутация компании на рынке,3
190,choose,Интересные задачи / проекты,1
190,choose,Стабильность компании (финансовая устойчивость),2
190,choose,Моё профессиональное развитие,3
191,choose,Моё профессиональное развитие,1
191,choose,Стабильность компании (финансовая устойчивость),2
191,choose,Баланс работы и личной жизни,3
192,choose,Удаленный / гибридный формат работы,1
192,choose,Стабильность компании (финансовая устойчивость),2
192,choose,Моё профессиональное развитие,3
193,choose,Личный бренд основателя / руководителя компании,1
193,choose,Интересные задачи / проекты,2
193,choose,Репутация компании на рынке,3
194,choose,Команда и корпоративная культура,1
194,choose,Моё профессиональное развитие,2
194,choose,Нахождение офиса компании,3
195,choose,Репутация компании на рынке,1
195,choose,Моё профессиональное развитие,2
196,choose,Удаленный / гибридный формат работы,1
196,choose,Интересные задачи / проекты,2
196,choose,Команда и корпоративная культура,3
197,choose,Удаленный / гибридный формат работы,1
197,choose,Интересные задачи / проекты,2
197,choose,Моё профессиональное развитие,3
198,choose,Команда и корпоративная культура,1
198,choose,Удаленный / гибридный формат работы,2
198,choose,Баланс работы и личной жизни,3
199,choose,Удаленный / гибридный формат работы,1
199,choose,Моё профессиональное развитие,2
199,choose,Команда и корпоративная культура,3
200,choose,Стабильность компании (финансовая устойчивость),1
200,choose,Команда и корпоративная культура,2
200,choose,Моё профессиональное развитие,3
201,choose,Репутация компании на рынке,1
201,choose,Команда и корпоративная культура,2
201,choose,Интересные задачи / проекты,3
202,choose,Моё профессиональное развитие,1
202,choose,Цифровые продукт компании,2
202,choose,Интересные задачи / проекты,3
203,choose,Баланс работы и личной жизни,1
203,choose,Удаленный / гибридный формат работы,2
203,choose,Стабильность компании (финансовая устойчивость),3
204,choose,Репутация компании на рынке,1
204,choose,Баланс работы и личной жизни,2
204,choose,Стабильность компании (финансовая устойчивость),3
